name,mid_lat,mid_lng,crime_rate_normalised,lighting_score,crime_source
Brown Street,55.945822,-3.180289,0.75,0.7,neighbourhood
Brown's Close,55.952283,-3.17687,0.45,0.7,neighbourhood
Brunswick Road,55.960474,-3.176206,0.45,0.7,neighbourhood
Brunswick Road Lane,55.961194,-3.17171,0.45,0.55,neighbourhood
Brunswick Street,55.95957,-3.18031,0.45,0.7068,neighbourhood
Brunswick Street Lane,55.959008,-3.179008,0.45,0.55,neighbourhood
Brunton Terrace,55.958251,-3.173729,0.45,0.7,neighbourhood
Bruntsfield Avenue,55.936638,-3.20954,0.2,0.7,neighbourhood
Bruntsfield Crescent,55.936237,-3.20343,0.2,0.6868,neighbourhood
Bruntsfield Gardens,55.935435,-3.208433,0.2,0.7,neighbourhood
Bruntsfield Place,55.937341,-3.207059,0.2,0.9,neighbourhood
Bruntsfield Terrace,55.9368,-3.206292,0.2,0.7,neighbourhood
Bryson Road,55.938323,-3.222516,0.15,0.645,neighbourhood
Buccleuch Place,55.942822,-3.186604,0.25,0.6,neighbourhood
Buccleuch Place Lane,55.942609,-3.185585,0.25,0.75,neighbourhood
Buccleuch Street,55.942531,-3.184269,0.25,0.8,neighbourhood
Buccleuch Terrace,55.941351,-3.182775,0.25,0.7,neighbourhood
Buchanan Street,55.963766,-3.176166,0.45,0.7105,neighbourhood
Buckingham Terrace,55.954994,-3.21797,0.1,0.7,neighbourhood
Bull's Close,55.951551,-3.178106,0.45,0.5,neighbourhood
Burgess Terrace,55.933759,-3.167842,0.2,0.7,neighbourhood
Burnet's Close,55.949834,-3.188949,0.75,0.5,neighbourhood
Burns Street,55.968622,-3.164935,0.6,0.7,neighbourhood
Byre's Close,55.949882,-3.191622,0.75,0.5,neighbourhood
Cairntows Close,55.934278,-3.141294,0.2,0.5952,neighbourhood
Caledonian Crescent,55.942427,-3.218608,0.35,0.7,neighbourhood
Caledonian Place,55.943314,-3.218055,0.35,0.7,neighbourhood
Caledonian Road,55.943726,-3.216768,0.35,0.7,neighbourhood
Calton Hill,55.954244,-3.186204,0.45,0.6,neighbourhood
Calton Road,55.953027,-3.181947,0.45,0.6,neighbourhood
Calton Wynd,55.952824,-3.178854,0.45,0.5,neighbourhood
Cambridge Avenue,55.965983,-3.178688,0.6,0.7,neighbourhood
Cambridge Gardens,55.966332,-3.178959,0.6,0.7,neighbourhood
Cambridge Street,55.947811,-3.205029,0.68,0.7,neighbourhood
Cambusnethan Street,55.956884,-3.16199,0.45,0.7,neighbourhood
Cameron House Avenue,55.93131,-3.160396,0.2,0.7,neighbourhood
Cameron Park,55.930608,-3.161654,0.2,0.7,neighbourhood
Campbell's Close,55.952428,-3.177434,0.45,0.5536,neighbourhood
Candlemaker Row,55.947383,-3.192182,0.75,0.8,neighbourhood
Canning Street,55.947832,-3.210362,0.68,0.6,neighbourhood
Canning Street Lane,55.947722,-3.210836,0.68,0.7,neighbourhood
Canon Lane,55.961901,-3.19997,0.3,0.5591,neighbourhood
Canon Street,55.961991,-3.198405,0.3,0.7,neighbourhood
Canongate,55.951642,-3.178986,0.45,0.8,neighbourhood
Canonmills,55.962487,-3.197835,0.3,0.8227,neighbourhood
Canonmills Bridge,55.962984,-3.200254,0.3,0.85,neighbourhood
Carberry Place,55.94446,-3.228466,0.35,0.7,neighbourhood
Carlton Street,55.957182,-3.210895,0.12,0.7,neighbourhood
Carlton Terrace,55.956351,-3.173623,0.45,0.7,neighbourhood
Carlton Terrace Brae,55.956648,-3.173103,0.45,0.7,neighbourhood
Carlton Terrace Lane,55.956176,-3.174871,0.45,0.7,neighbourhood
Carlton Terrace Mews,55.956202,-3.174355,0.45,0.7,neighbourhood
Carmichael Place,55.969216,-3.186279,0.6,0.7,neighbourhood
Carnegie Court,55.944528,-3.180409,0.75,0.4796,neighbourhood
Carrington Road,55.961794,-3.225193,0.12,0.6,neighbourhood
Carrubber's Close,55.95076,-3.187172,0.75,0.472,neighbourhood
Casselbank Street,55.969841,-3.172911,0.6,0.7,neighbourhood
Castle Street,55.951284,-3.202888,0.65,0.6935,neighbourhood
Castle Terrace,55.948177,-3.204598,0.68,0.6,neighbourhood
Castle Wynd North,55.948553,-3.196331,0.7,0.45,neighbourhood
Castle Wynd South,55.947959,-3.196538,0.7,0.45,neighbourhood
Castlebarns Steps,55.948364,-3.204346,0.68,0.45,neighbourhood
Castlebrae Glebe,55.931534,-3.141788,0.2,0.7,neighbourhood
Castlebrae Grove,55.9311,-3.141697,0.2,0.7,neighbourhood
Castlebrae Place,55.931031,-3.14275,0.2,0.6308,neighbourhood
Castlebrae Wynd,55.93039,-3.141599,0.2,0.582,neighbourhood
Castlehill,55.948928,-3.195428,0.7,0.75,neighbourhood
Castleview Drive,55.931068,-3.143938,0.2,0.6314,neighbourhood
Castleview Grove,55.930535,-3.143234,0.2,0.7,neighbourhood
Castleview Terrace,55.931351,-3.143971,0.2,0.7,neighbourhood
Cathcart Place,55.942615,-3.223229,0.35,0.7,neighbourhood
Cathedral Lane,55.956217,-3.188091,0.3,0.75,neighbourhood
Causewayside,55.936266,-3.18012,0.2,0.8,neighbourhood
Cavalry Park Drive,55.942546,-3.143548,0.2,0.6,neighbourhood
Cemetery Road,55.969029,-3.198796,0.12,0.55,neighbourhood
Chalmer's Buildings,55.944001,-3.207477,0.68,0.5,neighbourhood
Chalmers Close,55.950865,-3.185862,0.75,0.4817,neighbourhood
Chalmers Crescent,55.936729,-3.191119,0.15,0.7,neighbourhood
Chalmers Street,55.943629,-3.197284,0.35,0.6,neighbourhood
Chamberlain Road,55.934301,-3.207813,0.2,0.8,neighbourhood
Chambers Street,55.947686,-3.188482,0.75,0.6,neighbourhood
Chapel Street,55.94427,-3.185805,0.75,0.8,neighbourhood
